iddpto,departamento,idprov,provincia,ubigeo,distrito,capital,area,fuente,n_ipress,total_emergencias,n_centros,dist_media_km,dist_max_km,pct_centros_lejanos
10,HUANUCO,1009,PUERTO INCA,100902,CODO DEL POZUZO,CODO DEL POZUZO,1,INEI,6,0.0,0,,,
10,HUANUCO,1009,PUERTO INCA,100904,TOURNAVISTA,TOURNAVISTA,1,INEI,4,0.0,1,6.008793458680365,6.008793458680365,0.0
25,UCAYALI,2503,PADRE ABAD,250305,ALEXANDER VON HUMBOLDT,ALEXANDER VON HUMBOLDT,1,INEI,3,2.0,14,2.0900632593306137,6.133328465567456,0.0
25,UCAYALI,2503,PADRE ABAD,250302,IRAZOLA,SAN ALEJANDRO,1,INEI,6,0.0,28,5.03385740785702,16.235012392107983,10.714285714285714
25,UCAYALI,2503,PADRE ABAD,250304,NESHUYA,MONTE ALEGRE,1,INEI,7,225.0,25,2.638213502692105,6.289149983600881,0.0
25,UCAYALI,2503,PADRE ABAD,250301,PADRE ABAD,AGUAYTIA,1,INEI,14,49.0,89,5.744941865531178,19.728888977124328,14.606741573033707
25,UCAYALI,2503,PADRE ABAD,250303,CURIMANA,CURIMANA,1,INEI,7,39.0,31,3.068054410041322,10.765141319292587,3.225806451612903
10,HUANUCO,1009,PUERTO INCA,100901,PUERTO INCA,PUERTO INCA,1,INEI,9,0.0,0,,,
25,UCAYALI,2501,CORONEL PORTILLO,250106,NUEVA REQUENA,NUEVA REQUENA,1,INEI,6,11.0,52,3.741994748566321,8.526802195870905,0.0
25,UCAYALI,2501,CORONEL PORTILLO,250102,CAMPOVERDE,CAMPO VERDE,1,INEI,24,41.0,66,2.7716546664584794,9.886455151605222,0.0
16,LORETO,1606,UCAYALI,160601,CONTAMANA,CONTAMANA,1,INEI,6,0.0,0,,,
13,LA LIBERTAD,1301,TRUJILLO,130104,HUANCHACO,HUANCHACO,1,INEI,7,2022.0,0,,,
13,LA LIBERTAD,1302,ASCOPE,130207,SANTIAGO DE CAO,SANTIAGO DE CAO,1,INEI,3,0.0,0,,,
13,LA LIBERTAD,1301,TRUJILLO,130110,SIMBAL,SIMBAL,1,INEI,1,0.0,0,,,
13,LA LIBERTAD,1302,ASCOPE,130204,MAGDALENA DE CAO,MAGDALENA DE CAO,1,INEI,1,0.0,0,,,
13,LA LIBERTAD,1302,ASCOPE,130203,CHOCOPE,CHOCOPE,1,INEI,3,8818.0,0,,,
13,LA LIBERTAD,1302,ASCOPE,130205,PAIJAN,PAIJAN,1,INEI,2,223.0,0,,,
13,LA LIBERTAD,1306,OTUZCO,130613,SINSICAP,SINSICAP,1,INEI,3,0.0,0,,,
13,LA LIBERTAD,1302,ASCOPE,130202,CHICAMA,CHICAMA,1,INEI,2,483.0,0,,,
13,LA LIBERTAD,1302,ASCOPE,130206,RAZURI,PUERTO DE MALABRIGO,1,INEI,1,0.0,0,,,
13,LA LIBERTAD,1311,GRAN CHIMU,131103,MARMOT,MARMOT /13,1,INEI,3,0.0,0,,,
13,LA LIBERTAD,1302,ASCOPE,130201,ASCOPE,ASCOPE,1,INEI,2,564.0,0,,,
13,LA LIBERTAD,1311,GRAN CHIMU,131101,CASCAS,CASCAS,1,INEI,6,1131.0,0,,,
13,LA LIBERTAD,1302,ASCOPE,130208,CASA GRANDE,CASA GRANDE,1,INEI,4,7794.0,0,,,
06,CAJAMARCA,0605,CONTUMAZA,060505,SAN BENITO,SAN BENITO,1,INEI,2,0.0,0,,,
13,LA LIBERTAD,1307,PACASMAYO,130701,SAN PEDRO DE LLOC,SAN PEDRO DE LLOC,1,INEI,3,584.0,0,,,
06,CAJAMARCA,0605,CONTUMAZA,060503,CUPISNIQUE,TRINIDAD,1,INEI,2,0.0,0,,,
23,TACNA,2301,TACNA,230110,CORONEL GREGORIO ALBARRACIN LANCHIPA,ALFONSO UGARTE,1,INEI,5,9108.0,17,4.070074365666257,10.93955036826951,5.88235294117647
23,TACNA,2301,TACNA,230108,POCOLLAY,POCOLLAY,1,INEI,1,0.0,8,1.0654063088334276,1.867780798547477,0.0
23,TACNA,2301,TACNA,230103,CALANA,CALANA,1,INEI,2,77318.0,26,1.6728184024493267,5.094988440370217,0.0
23,TACNA,2301,TACNA,230101,TACNA,TACNA,1,INEI,12,8766.0,17,2.2398303413649505,10.41087144540009,5.88235294117647
23,TACNA,2301,TACNA,230109,SAMA,LAS YARAS,1,INEI,3,0.0,38,6.2821696115664745,17.977819515765212,28.947368421052634
23,TACNA,2301,TACNA,230104,CIUDAD NUEVA,CIUDAD NUEVA,1,INEI,3,6355.0,5,1.4877203340525096,2.740919792514475,0.0
23,TACNA,2303,JORGE BASADRE,230303,ITE,ITE,1,INEI,2,0.0,23,8.826850369272934,17.76621265823369,47.82608695652174
18,MOQUEGUA,1803,ILO,180301,ILO,ILO,1,INEI,6,12940.0,8,5.646033515615537,17.925471083103215,12.5
23,TACNA,2301,TACNA,230102,ALTO DE LA ALIANZA,LA ESPERANZA,1,INEI,4,5396.0,15,1.423013962042603,4.296482275758374,0.0
23,TACNA,2301,TACNA,230106,PACHIA,PACHIA,1,INEI,4,0.0,28,3.9165492289012365,9.55014722322185,0.0
23,TACNA,2304,TARATA,230404,ESTIQUE-PAMPA,ESTIQUE-PAMPA,1,INEI,1,0.0,12,6.317658839497436,16.331965891135305,33.33333333333333
23,TACNA,2304,TARATA,230403,ESTIQUE,ESTIQUE,1,INEI,1,0.0,13,10.149989877188613,19.873728868692073,46.15384615384615
23,TACNA,2304,TARATA,230407,TARUCACHI,TARUCACHI,1,INEI,1,0.0,10,4.876526486270118,10.014291131872815,10.0
23,TACNA,2301,TACNA,230105,INCLAN,SAMA GRANDE,1,INEI,2,0.0,30,4.823941212293414,15.244746107796795,13.333333333333334
23,TACNA,2303,JORGE BASADRE,230301,LOCUMBA,LOCUMBA,1,INEI,3,0.0,33,8.169330952315448,15.786710706898962,39.39393939393939
18,MOQUEGUA,1803,ILO,180302,EL ALGARROBAL,EL ALGARROBAL,1,INEI,0,0.0,56,10.871988944454179,27.315537492606023,51.78571428571429
23,TACNA,2301,TACNA,230107,PALCA,PALCA,1,INEI,5,0.0,131,5.143843991331628,15.34337306212924,9.16030534351145
23,TACNA,2304,TARATA,230402,HEROES ALBARRACIN,CHUCATAMANI,1,INEI,2,0.0,14,3.074455330661217,7.534137346196761,0.0
23,TACNA,2302,CANDARAVE,230204,CURIBAYA,CURIBAYA,1,INEI,1,0.0,12,4.531477900845866,8.035963062227715,0.0
23,TACNA,2304,TARATA,230405,SITAJARA,SITAJARA,1,INEI,1,0.0,5,4.194932408049233,7.590676388287034,0.0
23,TACNA,2302,CANDARAVE,230206,QUILAHUANI,QUILAHUANI,1,INEI,3,0.0,20,1.7235932820432194,3.665942915486624,0.0
18,MOQUEGUA,1803,ILO,180303,PACOCHA,PUEBLO NUEVO,1,INEI,1,0.0,18,19.65192068783571,37.069866017321786,72.22222222222221
23,TACNA,2304,TARATA,230401,TARATA,TARATA,1,INEI,3,0.0,123,4.677395345734122,16.53647599417033,3.2520325203252036
23,TACNA,2302,CANDARAVE,230205,HUANUARA,HUANUARA,1,INEI,1,0.0,13,3.2019122225781107,6.231040207555415,0.0
23,TACNA,2304,TARATA,230408,TICACO,TICACO,1,INEI,1,0.0,33,12.806737776769193,20.460390687313563,72.72727272727273
23,TACNA,2303,JORGE BASADRE,230302,ILABAYA,ILABAYA,1,INEI,2,0.0,53,6.951322213700278,20.03848885132311,28.30188679245283
18,MOQUEGUA,1801,MARISCAL NIETO,180104,SAMEGUA,SAMEGUA,1,INEI,2,0.0,30,1.5581335448039904,4.380966326155696,0.0
04,AREQUIPA,0407,ISLAY,040706,PUNTA DE BOMBON,PUNTA DE BOMBON,1,INEI,1,222.0,18,11.43244705774583,33.80527419316146,33.33333333333333
23,TACNA,2302,CANDARAVE,230202,CAIRANI,CAIRANI,1,INEI,2,0.0,25,7.97898483964989,18.940696473331133,52.0
23,TACNA,2304,TARATA,230406,SUSAPAYA,SUSAPAYA,1,INEI,2,0.0,73,19.97266679287101,27.865095137887888,89.04109589041096
04,AREQUIPA,0407,ISLAY,040703,DEAN VALDIVIA,LA CURVA,1,INEI,3,8.0,25,2.0477751769117716,6.611179841499304,0.0
23,TACNA,2302,CANDARAVE,230203,CAMILACA,ALTO CAMILACA,1,INEI,3,0.0,45,7.326963969397529,19.540012985521837,37.77777777777778
04,AREQUIPA,0407,ISLAY,040705,MEJIA,MEJIA,1,INEI,1,0.0,10,2.090454254592024,5.3543700077914025,0.0
21,PUNO,2105,EL COLLAO,210502,CAPAZO,CAPAZO,1,INEI,6,0.0,143,5.282704962003632,19.302509967589902,5.594405594405594
23,TACNA,2302,CANDARAVE,230201,CANDARAVE,CANDARAVE,1,INEI,4,0.0,144,8.745204707910183,26.55112902672594,37.5
