id_ipress,total_emergencias,ubigeo,departamento
1,15358.0,160101,LORETO
3,8156.0,160108,LORETO
7,7709.0,160101,LORETO
66,851.0,160107,LORETO
161,321.0,160605,LORETO
185,7183.0,160606,LORETO
191,1071.0,160205,LORETO
192,2388.0,160205,LORETO
193,3206.0,160206,LORETO
194,42.0,160206,LORETO
195,2.0,160206,LORETO
196,404.0,160206,LORETO
197,566.0,160206,LORETO
199,2.0,160206,LORETO
200,92.0,160206,LORETO
201,144.0,160206,LORETO
202,1026.0,160210,LORETO
204,469.0,160210,LORETO
205,386.0,160210,LORETO
210,11004.0,160201,LORETO
211,15.0,160201,LORETO
213,2.0,160201,LORETO
214,2306.0,160201,LORETO
219,988.0,160201,LORETO
220,469.0,160201,LORETO
226,992.0,160201,LORETO
227,934.0,160201,LORETO
232,2731.0,160201,LORETO
308,3028.0,120301,JUNIN
311,1.0,120301,JUNIN
314,15.0,120304,JUNIN
315,14.0,120304,JUNIN
316,2.0,120304,JUNIN
317,4.0,120504,JUNIN
318,963.0,120302,JUNIN
319,11.0,120302,JUNIN
320,419.0,120302,JUNIN
321,20.0,120302,JUNIN
325,1.0,120302,JUNIN
330,57.0,120302,JUNIN
336,2.0,120304,JUNIN
340,3981.0,120303,JUNIN
354,2379.0,120305,JUNIN
365,5459.0,120401,JUNIN
432,6475.0,120601,JUNIN
434,1171.0,120604,JUNIN
439,6.0,120604,JUNIN
442,3245.0,120606,JUNIN
490,3.0,120603,JUNIN
519,390.0,120501,JUNIN
520,2648.0,120701,JUNIN
521,527.0,120702,JUNIN
542,184.0,120704,JUNIN
608,923.0,120107,JUNIN
611,36.0,120107,JUNIN
612,1.0,120111,JUNIN
620,28.0,120119,JUNIN
629,51.0,120133,JUNIN
630,1.0,120133,JUNIN
671,1062.0,120201,JUNIN
705,725.0,120114,JUNIN
727,31233.0,120101,JUNIN
728,7765.0,120101,JUNIN
753,10304.0,120101,JUNIN
754,9291.0,100101,HUANUCO
755,1607.0,100102,HUANUCO
756,1444.0,100102,HUANUCO
802,75.0,101001,HUANUCO
804,7.0,101003,HUANUCO
810,181.0,101001,HUANUCO
845,17.0,100313,HUANUCO
850,4.0,100307,HUANUCO
851,5.0,100307,HUANUCO
853,1.0,100307,HUANUCO
887,572.0,100501,HUANUCO
932,7026.0,100605,HUANUCO
979,3688.0,190113,PASCO
980,827.0,190301,PASCO
981,1542.0,190307,PASCO
995,71.0,190206,PASCO
1009,49.0,190101,PASCO
1026,251.0,190103,PASCO
1037,6.0,190110,PASCO
1051,34.0,190104,PASCO
1064,4.0,190111,PASCO
1081,34.0,190302,PASCO
1085,12.0,190301,PASCO
1087,1.0,190301,PASCO
1088,8.0,190301,PASCO
1089,35.0,190301,PASCO
1090,3.0,190301,PASCO
1091,32.0,190301,PASCO
1092,3.0,190301,PASCO
1093,162.0,190305,PASCO
1108,1736.0,190107,PASCO
1118,369.0,190308,PASCO
1133,24.0,190304,PASCO
1156,224.0,190306,PASCO
1180,52.0,190307,PASCO
1181,8.0,190307,PASCO
1183,5.0,190307,PASCO
1184,2.0,190307,PASCO
1207,1.0,190207,PASCO
1218,425.0,190201,PASCO
1231,13151.0,040101,AREQUIPA
1232,11741.0,040101,AREQUIPA
1237,138.0,040104,AREQUIPA
1259,3846.0,040107,AREQUIPA
1292,686.0,040110,AREQUIPA
1294,889.0,040109,AREQUIPA
1296,439.0,040112,AREQUIPA
1325,1130.0,040520,AREQUIPA
1344,4556.0,040201,AREQUIPA
1352,947.0,040302,AREQUIPA
1373,61.0,040310,AREQUIPA
1374,25.0,040305,AREQUIPA
1375,11.0,040313,AREQUIPA
1376,2.0,040311,AREQUIPA
1382,1119.0,040401,AREQUIPA
1388,171.0,040601,AREQUIPA
1419,701.0,040501,AREQUIPA
1443,84.0,040704,AREQUIPA
1445,203.0,040702,AREQUIPA
1446,222.0,040706,AREQUIPA
1449,8.0,040703,AREQUIPA
1472,1341.0,021701,ANCASH
1490,34.0,020507,ANCASH
1493,127.0,020501,ANCASH
1507,56.0,020508,ANCASH
1508,74.0,020201,ANCASH
1511,12.0,020202,ANCASH
1512,1.0,020203,ANCASH
1513,8.0,020204,ANCASH
1514,1.0,020204,ANCASH
1515,4.0,020205,ANCASH
1516,3140.0,020601,ANCASH
1534,110.0,020606,ANCASH
1540,404.0,020401,ANCASH
1543,10878.0,020101,ANCASH
1587,2731.0,021201,ANCASH
1633,2570.0,022001,ANCASH
1652,21327.0,021801,ANCASH
1659,248.0,021801,ANCASH
1703,15293.0,021809,ANCASH
1719,6705.0,020801,ANCASH
1741,5420.0,021101,ANCASH
1754,1512.0,021905,ANCASH
1765,511.0,021601,ANCASH
1771,1640.0,021601,ANCASH
1775,22157.0,021603,ANCASH
1776,492.0,021603,ANCASH
1777,1952.0,021603,ANCASH
1778,651.0,021603,ANCASH
1779,1926.0,021603,ANCASH
1780,1798.0,021603,ANCASH
1781,33590.0,021604,ANCASH
1782,677.0,021604,ANCASH
1783,58.0,021301,ANCASH
1786,2.0,021303,ANCASH
1788,14.0,021305,ANCASH
1792,49.0,021308,ANCASH
1793,8.0,021304,ANCASH
1795,615.0,021901,ANCASH
1799,3176.0,021902,ANCASH
1800,1030.0,021905,ANCASH
1805,1682.0,021903,ANCASH
1806,4530.0,021907,ANCASH
1807,11466.0,021907,ANCASH
1813,1079.0,021001,ANCASH
1819,192.0,021014,ANCASH
1824,300.0,021004,ANCASH
1856,11791.0,020701,ANCASH
1857,3981.0,020701,ANCASH
1858,819.0,020701,ANCASH
1859,3295.0,020701,ANCASH
1860,2588.0,020701,ANCASH
1861,5255.0,020703,ANCASH
1862,2012.0,020703,ANCASH
1863,2477.0,020702,ANCASH
1864,1012.0,020702,ANCASH
1865,591.0,020702,ANCASH
