ubigeo,departamento,provincia,distrito,IASE_base,IASE_alt,clase_base,clase_alt,rank_base,rank_alt,rank_change,clase_change
040101,AREQUIPA,AREQUIPA,AREQUIPA,0.6952025659570813,0.7689943251260982,Alto,Alto,1,1,0,False
250101,UCAYALI,CORONEL PORTILLO,CALLERIA,0.6733892449084316,0.71777320323988,Alto,Alto,2,2,0,False
120699,JUNIN,SATIPO,MAZAMARI - PANGOA,0.5252674900467651,0.6184702033322527,Medio,Alto,3,3,0,True
110101,ICA,ICA,ICA,0.4669244090483987,0.5904640704893018,Medio,Medio,4,4,0,False
090103,HUANCAVELICA,HUANCAVELICA,ACORIA,0.4645518723292199,0.5893517522141649,Medio,Medio,5,6,-1,False
120302,JUNIN,CHANCHAMAYO,PERENE,0.46139327093956434,0.5800479631880909,Medio,Medio,6,7,-1,False
120114,JUNIN,HUANCAYO,EL TAMBO,0.45804321661317615,0.589849652877318,Medio,Medio,7,5,2,False
150101,LIMA,LIMA,LIMA,0.44394454485699786,0.3329584086427484,Medio,Bajo,8,844,-836,True
250102,UCAYALI,CORONEL PORTILLO,CAMPOVERDE,0.43794821718401833,0.5616585998351009,Medio,Medio,9,10,-1,False
250105,UCAYALI,CORONEL PORTILLO,YARINACOCHA,0.43768515628867194,0.5648503024742384,Medio,Medio,10,9,1,False
120608,JUNIN,SATIPO,RIO TAMBO,0.4322722875883157,0.5372973202713625,Medio,Medio,11,21,-10,False
120101,JUNIN,HUANCAYO,HUANCAYO,0.4280552802277715,0.5605194450874609,Medio,Medio,12,11,1,False
040112,AREQUIPA,AREQUIPA,PAUCARPATA,0.42468524890251125,0.5667632910715107,Medio,Medio,13,8,5,False
030101,APURIMAC,ABANCAY,ABANCAY,0.41283340248649236,0.5468082909819577,Medio,Medio,14,13,1,False
120303,JUNIN,CHANCHAMAYO,PICHANAQUI,0.41088666089859627,0.5384444872200514,Medio,Medio,15,18,-3,False
190307,PASCO,OXAPAMPA,VILLA RICA,0.41036842072570423,0.5510547187951347,Medio,Medio,16,12,4,False
210101,PUNO,PUNO,PUNO,0.41017108865756835,0.5295596288950057,Medio,Medio,17,26,-9,False
090206,HUANCAVELICA,ACOBAMBA,PAUCARA,0.4025674602378308,0.5442586155326573,Medio,Medio,18,16,2,False
211101,PUNO,SAN ROMAN,JULIACA,0.40240121654792493,0.5345841568828344,Medio,Medio,19,24,-5,False
210102,PUNO,PUNO,ACORA,0.4012695240656644,0.5184578025892491,Medio,Medio,20,45,-25,False
050110,AYACUCHO,HUAMANGA,SAN JUAN BAUTISTA,0.4003350441863225,0.5448254559002021,Medio,Medio,21,15,6,False
080108,CUSCO,CUSCO,WANCHAQ,0.3991218529671921,0.5465907127754767,Bajo,Medio,22,14,8,True
090117,HUANCAVELICA,HUANCAVELICA,YAULI,0.3984169364772744,0.5368331879714955,Bajo,Medio,23,22,1,True
110501,ICA,PISCO,PISCO,0.39745025792646616,0.5396084455865291,Bajo,Medio,24,17,7,True
230103,TACNA,TACNA,CALANA,0.3959191342088385,0.5376076889495148,Bajo,Medio,25,20,5,True
210501,PUNO,EL COLLAO,ILAVE,0.39434260456462716,0.5153612882861364,Bajo,Medio,26,51,-25,True
250107,UCAYALI,CORONEL PORTILLO,MANANTAY,0.3925119636416502,0.5304786566512704,Bajo,Medio,27,25,2,True
080902,CUSCO,LA CONVENCION,ECHARATE,0.39156098394020467,0.5119446505134816,Bajo,Medio,28,58,-30,True
090203,HUANCAVELICA,ACOBAMBA,ANTA,0.390470793932641,0.5380871432799139,Bajo,Medio,29,19,10,True
