iddpto,departamento,idprov,provincia,ubigeo,distrito,capital,area,fuente,n_ipress,total_emergencias,n_centros,dist_media_km,dist_max_km,pct_centros_lejanos,facility_score,activity_score,access_score,IASE_base,clase_base,IASE_alt,clase_alt,IASE_base_rank,IASE_alt_rank
10,HUANUCO,1009,PUERTO INCA,100902,CODO DEL POZUZO,CODO DEL POZUZO,1,INEI,6,0.0,0,,,,0.09523809523809523,0.0,0.0,0.031746031746031744,Muy bajo,0.023809523809523808,Muy bajo,1118,1119
10,HUANUCO,1009,PUERTO INCA,100904,TOURNAVISTA,TOURNAVISTA,1,INEI,4,0.0,1,6.008793458680365,6.008793458680365,0.0,0.06349206349206349,0.0,0.8447535394778938,0.30274853432331905,Bajo,0.43824978561196276,Medio,603,623
25,UCAYALI,2503,PADRE ABAD,250305,ALEXANDER VON HUMBOLDT,ALEXANDER VON HUMBOLDT,1,INEI,3,2.0,14,2.0900632593306137,6.133328465567456,0.0,0.047619047619047616,5.001112747586338e-06,0.9513260932934294,0.3329833806750749,Bajo,0.4875690588296635,Medio,246,238
25,UCAYALI,2503,PADRE ABAD,250302,IRAZOLA,SAN ALEJANDRO,1,INEI,6,0.0,28,5.03385740785702,16.235012392107983,10.714285714285714,0.09523809523809523,0.0,0.8712675936376615,0.32216856295858554,Bajo,0.4594433206283546,Medio,391,497
25,UCAYALI,2503,PADRE ABAD,250304,NESHUYA,MONTE ALEGRE,1,INEI,7,225.0,25,2.638213502692105,6.289149983600881,0.0,0.1111111111111111,0.000562625184103463,0.9364187717025388,0.34936416933258446,Bajo,0.49612781992507304,Medio,111,145
25,UCAYALI,2503,PADRE ABAD,250301,PADRE ABAD,AGUAYTIA,1,INEI,14,49.0,89,5.744941865531178,19.728888977124328,14.606741573033707,0.2222222222222222,0.00012252726231586528,0.8519291644073346,0.3580913046306242,Bajo,0.4815507695748018,Medio,70,306
25,UCAYALI,2503,PADRE ABAD,250303,CURIMANA,CURIMANA,1,INEI,7,39.0,31,3.068054410041322,10.765141319292587,3.225806451612903,0.1111111111111111,9.75216985779336e-05,0.9247289535981451,0.3453125288026114,Bajo,0.4901666350014948,Medio,140,204
10,HUANUCO,1009,PUERTO INCA,100901,PUERTO INCA,PUERTO INCA,1,INEI,9,0.0,0,,,,0.14285714285714285,0.0,0.0,0.047619047619047616,Muy bajo,0.03571428571428571,Muy bajo,1008,1012
25,UCAYALI,2501,CORONEL PORTILLO,250106,NUEVA REQUENA,NUEVA REQUENA,1,INEI,6,11.0,52,3.741994748566321,8.526802195870905,0.0,0.09523809523809523,2.7506120111724858e-05,0.9064006841480479,0.33388876183541827,Bajo,0.47701674241357567,Medio,232,357
25,UCAYALI,2501,CORONEL PORTILLO,250102,CAMPOVERDE,CAMPO VERDE,1,INEI,24,41.0,66,2.7716546664584794,9.886455151605222,0.0,0.38095238095238093,0.00010252281132551993,0.9327897477883486,0.43794821718401833,Medio,0.5616585998351009,Medio,9,10
